,Unnamed: 0,TP,FP,Confi,iou,acc_tp,acc_fp,precision,recall
156,156,0.0,1.0,0.6707189083099365,0.4676423911126785,20.0,113.0,0.15037593984962405,0.020618556701030927
83,83,0.0,1.0,0.6696857213973999,0.5853658536585366,20.0,114.0,0.14925373134328357,0.020618556701030927
327,327,0.0,1.0,0.6666503548622131,0.6040955631399317,20.0,115.0,0.14814814814814814,0.020618556701030927
175,175,0.0,1.0,0.6661608219146729,0.3839827046491485,20.0,116.0,0.14705882352941177,0.020618556701030927
186,186,0.0,1.0,0.6659848093986511,0.38491674828599415,20.0,117.0,0.145985401459854,0.020618556701030927
240,240,0.0,1.0,0.6653302311897278,0.4950584007187781,20.0,118.0,0.14492753623188406,0.020618556701030927
317,317,1.0,0.0,0.6651266813278198,0.7583170254403131,21.0,118.0,0.1510791366906475,0.021649484536082474
298,298,0.0,1.0,0.662756085395813,0.6558185404339251,21.0,119.0,0.15,0.021649484536082474
245,245,0.0,1.0,0.6593902111053467,0.5054743067210101,21.0,120.0,0.14893617021276595,0.021649484536082474
297,297,0.0,1.0,0.6591487526893616,0.6840579710144927,21.0,121.0,0.14788732394366197,0.021649484536082474
431,431,0.0,1.0,0.657867968082428,0.7254309925002435,21.0,122.0,0.14685314685314685,0.021649484536082474
137,137,0.0,1.0,0.6575115323066711,0.5479871422011328,21.0,123.0,0.14583333333333334,0.021649484536082474
39,39,0.0,1.0,0.6565245985984802,0.4514802631578948,21.0,124.0,0.14482758620689656,0.021649484536082474
226,226,0.0,1.0,0.652945876121521,0.45158665581773794,21.0,125.0,0.14383561643835616,0.021649484536082474
396,396,0.0,1.0,0.6517272591590881,0.4572912701788953,21.0,126.0,0.14285714285714285,0.021649484536082474
157,157,0.0,1.0,0.651604413986206,0.33759772565742713,21.0,127.0,0.14189189189189189,0.021649484536082474
303,303,0.0,1.0,0.648847222328186,0.6105476673427992,21.0,128.0,0.14093959731543623,0.021649484536082474
365,365,0.0,1.0,0.6483360528945923,0.6895056374674762,21.0,129.0,0.14,0.021649484536082474
424,424,0.0,1.0,0.6465376019477844,0.5857988165680473,21.0,130.0,0.1390728476821192,0.021649484536082474
326,326,0.0,1.0,0.6446729898452759,0.4346504559270517,21.0,131.0,0.13815789473684212,0.021649484536082474
341,341,0.0,1.0,0.6423169374465942,0.4567474048442906,21.0,132.0,0.13725490196078433,0.021649484536082474
95,95,0.0,1.0,0.6384782195091248,0.3552756949335101,21.0,133.0,0.13636363636363635,0.021649484536082474
385,385,0.0,1.0,0.6364109516143799,0.6067951108348871,21.0,134.0,0.13548387096774195,0.021649484536082474
430,430,0.0,1.0,0.6362152099609375,0.5445240532241555,21.0,135.0,0.1346153846153846,0.021649484536082474
212,212,0.0,1.0,0.6308903694152832,0.688853487330114,21.0,136.0,0.1337579617834395,0.021649484536082474
198,198,0.0,1.0,0.630594789981842,0.5257620993468763,21.0,137.0,0.13291139240506328,0.021649484536082474
110,110,1.0,0.0,0.6305514574050903,0.9029078363725972,22.0,137.0,0.13836477987421383,0.02268041237113402
337,337,0.0,1.0,0.6299155354499817,0.6287458379578247,22.0,138.0,0.1375,0.02268041237113402
395,395,0.0,1.0,0.6231908798217773,0.5608260964752244,22.0,139.0,0.13664596273291926,0.02268041237113402
287,287,0.0,1.0,0.6219666004180908,0.7147211216092655,22.0,140.0,0.13580246913580246,0.02268041237113402
45,45,0.0,1.0,0.6203941702842712,0.4618843041262864,22.0,141.0,0.13496932515337423,0.02268041237113402
316,316,0.0,1.0,0.6202750205993652,0.5804020100502513,22.0,142.0,0.13414634146341464,0.02268041237113402
151,151,1.0,0.0,0.6199181079864502,0.8208296557811121,23.0,142.0,0.1393939393939394,0.023711340206185566
384,384,0.0,1.0,0.6175211668014526,0.6067065569683371,23.0,143.0,0.13855421686746988,0.023711340206185566
383,383,0.0,1.0,0.615351676940918,0.2525936150318358,23.0,144.0,0.1377245508982036,0.023711340206185566
44,44,0.0,1.0,0.6150961518287659,0.4271548436308162,23.0,145.0,0.13690476190476192,0.023711340206185566
315,315,0.0,1.0,0.6089038252830505,0.4925364150716263,23.0,146.0,0.13609467455621302,0.023711340206185566
364,364,0.0,1.0,0.6071634292602539,0.4646492818295914,23.0,147.0,0.13529411764705881,0.023711340206185566
136,136,0.0,1.0,0.6057724952697754,0.7262957528651307,23.0,148.0,0.13450292397660818,0.023711340206185566
12,12,0.0,1.0,0.6044439077377319,0.3564908722109533,23.0,149.0,0.13372093023255813,0.023711340206185566
239,239,0.0,1.0,0.6032317280769348,0.5089635854341736,23.0,150.0,0.1329479768786127,0.023711340206185566
336,336,0.0,1.0,0.5995102524757385,0.7004038964124495,23.0,151.0,0.13218390804597702,0.023711340206185566
170,170,1.0,0.0,0.5969064831733704,0.8720347379365176,24.0,151.0,0.13714285714285715,0.024742268041237112
237,237,0.0,1.0,0.5965030789375305,0.6308477459597391,24.0,152.0,0.13636363636363635,0.024742268041237112
346,346,0.0,1.0,0.5950132012367249,0.6357731199357128,24.0,153.0,0.13559322033898305,0.024742268041237112
363,363,0.0,1.0,0.5946148037910461,0.3245620833979228,24.0,154.0,0.1348314606741573,0.024742268041237112
4,4,0.0,1.0,0.5920667052268982,0.612718204488778,24.0,155.0,0.1340782122905028,0.024742268041237112
124,124,0.0,1.0,0.5894672274589539,0.425145410098626,24.0,156.0,0.13333333333333333,0.024742268041237112
43,43,0.0,1.0,0.5883048176765442,0.5023107003199431,24.0,157.0,0.13259668508287292,0.024742268041237112
244,244,0.0,1.0,0.5876997113227844,0.4642790697674419,24.0,158.0,0.13186813186813187,0.024742268041237112
262,262,0.0,1.0,0.5848394632339478,0.5999861457467442,24.0,159.0,0.13114754098360656,0.024742268041237112
123,123,0.0,1.0,0.5845373868942261,0.5383630153696023,24.0,160.0,0.13043478260869565,0.024742268041237112
356,356,0.0,1.0,0.5832605361938477,0.6476899117494376,24.0,161.0,0.12972972972972974,0.024742268041237112
429,429,0.0,1.0,0.5745607018470764,0.4658067158067158,24.0,162.0,0.12903225806451613,0.024742268041237112
362,362,1.0,0.0,0.5697983503341675,0.7655786350148368,25.0,162.0,0.13368983957219252,0.02577319587628866
296,296,0.0,1.0,0.5697963833808899,0.5104477611940299,25.0,163.0,0.13297872340425532,0.02577319587628866
314,314,0.0,1.0,0.5662736296653748,0.3698630136986301,25.0,164.0,0.13227513227513227,0.02577319587628866
250,250,1.0,0.0,0.5632321238517761,0.8238252221042632,26.0,164.0,0.1368421052631579,0.026804123711340205
163,163,0.0,1.0,0.5619059205055237,0.4901139180210074,26.0,165.0,0.13612565445026178,0.026804123711340205
169,169,0.0,1.0,0.5592638254165649,0.6474553123117092,26.0,166.0,0.13541666666666666,0.026804123711340205
423,423,1.0,0.0,0.5569576025009155,0.8709897610921502,27.0,166.0,0.13989637305699482,0.027835051546391754
410,410,0.0,1.0,0.5552542209625244,0.5328207409290208,27.0,167.0,0.13917525773195877,0.027835051546391754
135,135,0.0,1.0,0.5549283623695374,0.3201984612065866,27.0,168.0,0.13846153846153847,0.027835051546391754
134,134,0.0,1.0,0.5533461570739746,0.7200945845697329,27.0,169.0,0.1377551020408163,0.027835051546391754
335,335,0.0,1.0,0.5525209307670593,0.5665066365433493,27.0,170.0,0.13705583756345177,0.027835051546391754
155,155,0.0,1.0,0.5485184192657471,0.7307564145284905,27.0,171.0,0.13636363636363635,0.027835051546391754
236,236,0.0,1.0,0.545013427734375,0.5984368614630159,27.0,172.0,0.135678391959799,0.027835051546391754
168,168,0.0,1.0,0.5424637794494629,0.10120400367487066,27.0,173.0,0.135,0.027835051546391754
325,325,0.0,1.0,0.5412119030952454,0.5029889879391715,27.0,174.0,0.13432835820895522,0.027835051546391754
409,409,0.0,1.0,0.5403791666030884,0.5233555767397522,27.0,175.0,0.13366336633663367,0.027835051546391754
206,206,0.0,1.0,0.5393944978713989,0.7240444167552315,27.0,176.0,0.1330049261083744,0.027835051546391754
94,94,0.0,1.0,0.5370470881462097,0.7226107226107226,27.0,177.0,0.1323529411764706,0.027835051546391754
355,355,1.0,0.0,0.5313939452171326,0.7905807711078575,28.0,177.0,0.13658536585365855,0.0288659793814433
191,191,0.0,1.0,0.5309233665466309,0.3986619090098127,28.0,178.0,0.13592233009708737,0.0288659793814433
56,56,0.0,1.0,0.5300021767616272,0.439929030077729,28.0,179.0,0.13526570048309178,0.0288659793814433
382,382,0.0,1.0,0.5276606082916261,0.5746854602213604,28.0,180.0,0.1346153846153846,0.0288659793814433
70,70,0.0,1.0,0.5246132016181946,0.6379731379731379,28.0,181.0,0.1339712918660287,0.0288659793814433
82,82,0.0,1.0,0.5239235758781433,0.5803760353062088,28.0,182.0,0.13333333333333333,0.0288659793814433
69,69,0.0,1.0,0.5234251618385315,0.7462229034377053,28.0,183.0,0.13270142180094788,0.0288659793814433
109,109,0.0,1.0,0.5201776623725891,0.5265670402656704,28.0,184.0,0.1320754716981132,0.0288659793814433
150,150,0.0,1.0,0.5194630622863771,0.5289103893112186,28.0,185.0,0.13145539906103287,0.0288659793814433
162,162,1.0,0.0,0.5194594264030457,0.7540076540482084,29.0,185.0,0.13551401869158877,0.029896907216494847
313,313,0.0,1.0,0.5191946029663086,0.4767025089605735,29.0,186.0,0.13488372093023257,0.029896907216494847
422,422,0.0,1.0,0.5187540650367737,0.4975767366720517,29.0,187.0,0.13425925925925927,0.029896907216494847
68,68,0.0,1.0,0.5159819126129149,0.4712922173274596,29.0,188.0,0.1336405529953917,0.029896907216494847
292,292,0.0,1.0,0.5146008133888245,0.5565200236733083,29.0,189.0,0.13302752293577982,0.029896907216494847
261,261,0.0,1.0,0.5143809914588928,0.4581259875946322,29.0,190.0,0.1324200913242009,0.029896907216494847
25,25,0.0,1.0,0.5101378560066223,0.5356620209059233,29.0,191.0,0.1318181818181818,0.029896907216494847
291,291,0.0,1.0,0.509071409702301,0.6593939393939394,29.0,192.0,0.13122171945701358,0.029896907216494847
334,334,0.0,1.0,0.5076547861099243,0.5693967631191761,29.0,193.0,0.13063063063063063,0.029896907216494847
324,324,0.0,1.0,0.5075632929801941,0.7031346457233006,29.0,194.0,0.13004484304932734,0.029896907216494847
233,233,0.0,1.0,0.5074341297149658,0.5878161738510865,29.0,195.0,0.12946428571428573,0.029896907216494847
229,229,0.0,1.0,0.5063905119895935,0.4495171202809482,29.0,196.0,0.1288888888888889,0.029896907216494847
185,185,0.0,1.0,0.5044768452644348,0.693806754412815,29.0,197.0,0.12831858407079647,0.029896907216494847
225,225,0.0,1.0,0.504322350025177,0.5278745644599303,29.0,198.0,0.1277533039647577,0.029896907216494847
174,174,0.0,1.0,0.5004744529724121,0.4443020551521192,29.0,199.0,0.12719298245614036,0.029896907216494847
21,21,0.0,1.0,0.4993171393871307,0.4782608695652174,29.0,200.0,0.12663755458515283,0.029896907216494847
295,295,0.0,1.0,0.4975342452526093,0.6306372549019608,29.0,201.0,0.12608695652173912,0.029896907216494847
190,190,0.0,1.0,0.4953678250312805,0.6312970854577277,29.0,202.0,0.12554112554112554,0.029896907216494847
345,345,0.0,1.0,0.4947987496852875,0.5543090933086974,29.0,203.0,0.125,0.029896907216494847
278,278,0.0,1.0,0.4914496541023254,0.4422657952069717,29.0,204.0,0.12446351931330472,0.029896907216494847
159,159,0.0,1.0,0.490361899137497,0.5714285714285714,29.0,205.0,0.12393162393162394,0.029896907216494847
408,408,0.0,1.0,0.489982008934021,0.6478247062559542,29.0,206.0,0.12340425531914893,0.029896907216494847
249,249,0.0,1.0,0.4898294508457184,0.3305098603525526,29.0,207.0,0.1228813559322034,0.029896907216494847
122,122,0.0,1.0,0.4879080951213837,0.3876552502822733,29.0,208.0,0.12236286919831224,0.029896907216494847
3,3,0.0,1.0,0.4878128170967102,0.5620543882894821,29.0,209.0,0.12184873949579832,0.029896907216494847
302,302,0.0,1.0,0.4872454702854157,0.3620689655172414,29.0,210.0,0.12133891213389121,0.029896907216494847
323,323,0.0,1.0,0.4857265055179596,0.5928398756762979,29.0,211.0,0.12083333333333333,0.029896907216494847
407,407,0.0,1.0,0.4806963503360748,0.6048307913857432,29.0,212.0,0.12033195020746888,0.029896907216494847
20,20,0.0,1.0,0.4806818962097168,0.5129693943998264,29.0,213.0,0.11983471074380166,0.029896907216494847
221,221,0.0,1.0,0.4800386726856232,0.4809559372666169,29.0,214.0,0.11934156378600823,0.029896907216494847
121,121,0.0,1.0,0.4795075654983521,0.5403380714560123,29.0,215.0,0.11885245901639344,0.029896907216494847
344,344,0.0,1.0,0.4771133959293366,0.6175569921742089,29.0,216.0,0.11836734693877551,0.029896907216494847
235,235,0.0,1.0,0.4770581126213074,0.5423768939393939,29.0,217.0,0.11788617886178862,0.029896907216494847
2,2,1.0,0.0,0.4765362441539765,0.815806067399986,30.0,217.0,0.1214574898785425,0.030927835051546393
361,361,0.0,1.0,0.4755436480045319,0.3803732335417795,30.0,218.0,0.12096774193548387,0.030927835051546393
133,133,0.0,1.0,0.4747146964073181,0.7083584402169235,30.0,219.0,0.12048192771084337,0.030927835051546393
184,184,0.0,1.0,0.4741765260696411,0.2999424452544742,30.0,220.0,0.12,0.030927835051546393
81,81,1.0,0.0,0.4741670489311218,0.7874666327697979,31.0,220.0,0.12350597609561753,0.031958762886597936
